IDVenta,Unidades,Ingresos por productos (MXN),Cargo por venta e impuestos,Costos de envío,Total (MXN),Venta por publicidad,IDproducto,Canal de venta,Precio unitario de venta de la publicación (MXN),Municipio/Alcaldía,Estado,Código postal,Forma de entrega,Transportista,Fecha Venta,FechaCamino,FechaEntrega,Ganancia,Tiempo de entrega (días),Fecha Venta_season,Fecha Venta_day_of_week,Fecha Venta_holiday,Fecha Venta_month,Fecha Venta_year,FechaCamino_season,FechaCamino_day_of_week,FechaCamino_holiday,FechaCamino_month,FechaCamino_year,FechaEntrega_season,FechaEntrega_day_of_week,FechaEntrega_holiday,FechaEntrega_month,FechaEntrega_year
2000003801421707,1,185.0,-83.9000015258789,0.0,101.099998474121,Sí,MLM937449001,Mercado Libre,175.0,Coyoacán,Distrito Federal,4250,Mercado Envíos Full,Mercado Envios,2022-06-21,2022-06-21,2022-06-21,184.9999999999999,0,Summer,Tuesday,False,June,2022,Summer,Tuesday,False,June,2022,Summer,Tuesday,False,June,2022
2000004169612598,1,166.25,-62.8400001525879,-89.0,103.410003662109,Sí,MLM937449001,Mercado Libre,185.0,Nezahualcoyotl,Estado De México,57200,Mercado Envíos Full,Mercado Envios,2021-11-02,2021-11-02,2021-11-02,255.2500038146969,0,Fall,Tuesday,False,November,2021,Fall,Tuesday,False,November,2021,Fall,Tuesday,False,November,2021
2000003794895775,1,185.0,-67.0999984741211,0.0,117.900001525879,Sí,MLM937274388,Mercado Libre,295.0,Tultitlán,Estado De México,54933,Mercado Envíos Full,Mercado Envios,2022-08-26,2022-08-26,2022-08-26,185.0000000000001,0,Summer,Friday,False,August,2022,Summer,Friday,False,August,2022,Summer,Friday,False,August,2022
2000003792874955,2,370.5,-134.320007324219,0.0,236.179992675781,Sí,MLM937274388,Mercado Libre,295.0,Gustavo A. Madero,Distrito Federal,7800,Mercado Envíos Full,Mercado Envios,2022-08-12,2022-08-12,2022-08-12,370.5,0,Summer,Friday,False,August,2022,Summer,Friday,False,August,2022,Summer,Friday,False,August,2022
2000003791418641,1,185.0,-67.0999984741211,0.0,117.900001525879,Sí,MLM937274388,Mercado Libre,295.0,Naucalpan,Estado De México,53580,Mercado Envíos Full,Mercado Envios,2022-08-01,2022-08-01,2022-08-01,185.0000000000001,0,Summer,Monday,False,August,2022,Summer,Monday,False,August,2022,Summer,Monday,False,August,2022
2000004144605600,1,185.0,-67.0999984741211,-115.0,117.900001525879,Sí,MLM937274388,Mercado Libre,280.25,Cuauhtémoc,Distrito Federal,6470,Mercado Envíos Full,Mercado Envios,2022-07-19,2022-07-19,2022-07-19,300.0000000000001,0,Summer,Tuesday,False,July,2022,Summer,Tuesday,False,July,2022,Summer,Tuesday,False,July,2022
2000003790133871,1,185.0,-67.0999984741211,0.0,117.900001525879,Sí,MLM937274388,Mercado Libre,295.0,Celaya,Guanajuato,38016,Mercado Envíos Full,Mercado Envios,2022-07-17,2022-07-17,2022-07-17,185.0000000000001,0,Summer,Sunday,False,July,2022,Summer,Sunday,False,July,2022,Summer,Sunday,False,July,2022
2000003789101799,1,185.0,-67.0999984741211,0.0,117.900001525879,No,MLM937274388,Mercado Libre,295.0,San Nicolás De Los Garza,Nuevo León,66478,Mercado Envíos Full,Mercado Envios,2022-06-21,2022-06-21,2022-06-21,185.0000000000001,0,Summer,Tuesday,False,June,2022,Summer,Tuesday,False,June,2022,Summer,Tuesday,False,June,2022
2000003786722739,1,185.0,-67.0999984741211,0.0,117.900001525879,Sí,MLM937274388,Mercado Libre,280.25,Atizapán De Zaragoza,Estado De México,52978,Mercado Envíos Full,Mercado Envios,2022-06-14,2022-06-14,2022-06-14,185.0000000000001,0,Summer,Tuesday,False,June,2022,Summer,Tuesday,False,June,2022,Summer,Tuesday,False,June,2022
2000003785605367,1,155.0,-60.2799987792969,-98.0,94.7200012207031,No,MLM937274388,Mercado Libre,295.0,Coyoacán,Distrito Federal,4420,Mercado Envíos Full,Mercado Envios,2022-05-27,2022-05-27,2022-05-27,253.0,0,Spring,Friday,False,May,2022,Spring,Friday,False,May,2022,Spring,Friday,False,May,2022
2000004122281528,1,185.0,-67.0999984741211,-98.0,117.900001525879,No,MLM937274388,Mercado Libre,295.0,San Pedro Cholula,Puebla,72775,Mercado Envíos Full,Mercado Envios,2022-04-29,2022-04-29,2022-04-29,283.0000000000001,0,Spring,Friday,False,April,2022,Spring,Friday,False,April,2022,Spring,Friday,False,April,2022
2000003775162909,1,185.0,-67.0999984741211,0.0,117.900001525879,No,MLM937274388,Mercado Libre,295.0,El Marques,Querétaro,76269,Mercado Envíos Full,Mercado Envios,2022-03-12,2022-03-12,2022-03-12,185.0000000000001,0,Spring,Saturday,False,March,2022,Spring,Saturday,False,March,2022,Spring,Saturday,False,March,2022
2000004107557708,1,155.0,-60.2799987792969,-97.0,94.7200012207031,Sí,MLM937274388,Mercado Libre,285.0,Iztapalapa,Distrito Federal,9880,Mercado Envíos Full,Mercado Envios,2022-03-11,2022-03-11,2022-03-11,252.0,0,Spring,Friday,False,March,2022,Spring,Friday,False,March,2022,Spring,Friday,False,March,2022
2000004071652834,1,175.0,-64.8300018310547,-99.0,110.169998168945,No,MLM937274388,Mercado Libre,295.0,Cuautitlan,Estado De México,54870,Mercado Envíos Full,Mercado Envios,2021-11-12,2021-11-12,2021-11-12,273.9999999999997,0,Fall,Friday,False,November,2021,Fall,Friday,False,November,2021,Fall,Friday,False,November,2021
